mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude
,,315.34,1325560656,,,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
,,337.05,1325609693,,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,711.66,1325614021,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,707.5,1325628540,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,942.62,1325629275,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,4.5,1325631524,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,821.96,1325632191,,,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,1092.68,1325633397,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,1254.27,1325634096,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613314721966,,,,,,,35.9946,-81.7266
,,274.09,1325634282,,,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,340187018810220,,,,,,,29.44,-98.459
,,14.37,1325638683,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,316.93,1325643224,,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,327.68,1325645837,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,966.11,1325689598,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,795.22,1325690417,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,1015.8,1325692125,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,722.18,1325715009,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,898.81,1325715247,,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,1001.63,1325715764,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,49.61,1325716624,,,,,,,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,295.26,1325718388,,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,1099.99,1325720696,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922710831011201,,,,,,,40.3359,-79.6607
,,18.17,1325721549,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,20.45,1325733335,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,18.19,1325733689,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,367.29,1325763083,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,30328384440870,,,,,,,40.029,-93.1607
,,768.15,1325786598,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,849.49,1325800954,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,1177.79,1325801150,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,30328384440870,,,,,,,40.029,-93.1607
,,307.09,1325801545,,,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,4.58,1325801932,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,730.78,1325802748,,,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,1006.4,1325802835,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,830.72,1325803095,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,311.92,1325805459,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,341546199006537,,,,,,,64.7556,-165.6723
,,762.93,1325805984,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,30328384440870,,,,,,,40.029,-93.1607
,,855.88,1325875167,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,30328384440870,,,,,,,40.029,-93.1607
,,909.29,1325892837,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,30328384440870,,,,,,,40.029,-93.1607
,,300.14,1325910888,,,,,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,967.92,1325975585,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,270.01,1325979867,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,289.69,1325980713,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,311.83,1325981012,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,283.19,1325982417,,,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,15.82,1325985799,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,296.32,1325985951,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,334.28,1325986575,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,664.73,1325987429,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,8.79,1325988541,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,301.55,1325989794,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,327.26,1325990014,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,1127.56,1325991611,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,276.41,1325991966,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,722.92,1325993838,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,8.33,1325995364,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,333.09,1325996773,,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,291.51,1326022864,,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,564.57,1326038825,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,929.28,1326061094,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,848.32,1326061672,,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,1003.72,1326061723,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,1131.66,1326062194,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,959.59,1326062896,,,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,388.02,1326063932,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597980945245815,,,,,,,34.0442,-94.3386
,,1050.01,1326064952,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,996.93,1326065853,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,1030.43,1326066861,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,937.47,1326067094,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,623.43,1326068556,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,346.69,1326069176,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,337.06,1326072387,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,18.86,1326074366,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513618443244549,,,,,,,43.7588,-97.8712
,,847.72,1326074677,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,897.67,1326075612,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,305.6,1326077549,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,301.33,1326079567,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,701.88,1326083954,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,303.14,1326105529,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,749.94,1326121496,,,,,,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,1006.34,1326122490,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513618443244549,,,,,,,43.7588,-97.8712
,,1104.38,1326146453,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,1044.81,1326146546,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,937.57,1326146568,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,918.69,1326147806,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,10.53,1326147830,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,835.36,1326147889,,,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,95.94,1326148553,,,,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,9.91,1326149904,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806443445305,,,,,,,38.5294,-82.6654
,,1148.15,1326150246,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,342035762534413,,,,,,,37.7184,-77.186
,,945.56,1326150607,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,18.24,1326152907,,,,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859525594182537,,,,,,,42.0716,-75.0152
,,325.38,1326156193,,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,8.45,1326164138,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,311.47,1326166762,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513618443244549,,,,,,,43.7588,-97.8712
,,1161.58,1326233689,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,685.63,1326235279,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526955903501879,,,,,,,26.3304,-81.5871
,,344.01,1326238636,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513618443244549,,,,,,,43.7588,-97.8712
,,831.16,1326241869,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,299.98,1326243425,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,353.06,1326243892,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,846.52,1326245412,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,334.85,1326247531,,,,,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,8.18,1326250015,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,1008.39,1326250927,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,9.15,1326252313,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,11.48,1326267748,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,830.58,1326267974,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,21.13,1326296687,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,19.51,1326309652,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,992.1,1326320075,,,,,,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,882.9,1326323078,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,24.78,1326323953,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,1001.51,1326326148,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,11.73,1326329941,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,7.04,1326332786,,,,,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,288.41,1326333233,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,298.99,1326334284,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,368.43,1326338677,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,328.68,1326340087,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,303.58,1326353718,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,644.4,1326382606,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,120.58,1326383170,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,1081.35,1326398039,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,843.44,1326405764,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,20.58,1326407841,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,776.7,1326408245,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,728.36,1326408493,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,784.77,1326409754,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,264.35,1326409973,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,278.32,1326410654,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,696.76,1326411145,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348245054386329,,,,,,,42.1767,-79.9416
,,119.72,1326411864,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587577161160601,,,,,,,44.0943,-69.4828
,,741.88,1326412288,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,1116.8,1326412620,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,320.6,1326413666,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,952.08,1326415744,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,1060.34,1326418267,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,7.42,1326418525,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,276.8,1326419944,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,336.2,1326421007,,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,303.03,1326422946,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,308.84,1326439582,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,19.19,1326461527,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,1033.78,1326474106,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,994.92,1326489028,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,859.46,1326492013,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,919.17,1326492082,,,,,,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,1062.95,1326492085,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,770.94,1326493069,,,,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,728.77,1326493498,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,25.27,1326494151,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,816.89,1326495856,,,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,23.18,1326496228,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,976.64,1326496620,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,510.59,1326496658,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,307.5,1326497318,,,,,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,20.96,1326497620,,,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,581686439828,,,,,,,41.5205,-80.0573
,,224.94,1326497960,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,790.35,1326498334,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,870.97,1326498602,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,916.87,1326498925,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,714.88,1326498986,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,38797410705641,,,,,,,42.4069,-74.1528
,,1065.43,1326499050,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666314527820883145,,,,,,,41.0233,-98.9041
,,813.73,1326500305,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,417.97,1326500556,,,,,,,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789911625179723,,,,,,,40.8095,-72.8229
,,306.81,1326500852,,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,12.57,1326501421,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,324.87,1326502012,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979422371139333,,,,,,,41.4193,-99.3844
,,325.86,1326504716,,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377338765909719,,,,,,,36.115,-84.0438
,,16.44,1326505268,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979422371139333,,,,,,,41.4193,-99.3844
,,277.53,1326505375,,,,,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536918668124647,,,,,,,37.3304,-121.7913
,,8.56,1326507199,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789911625179723,,,,,,,40.8095,-72.8229
,,328.57,1326507549,,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377338765909719,,,,,,,36.115,-84.0438
,,13.2,1326508028,,,,,,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979422371139333,,,,,,,41.4193,-99.3844
,,377.28,1326509030,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,7.24,1326509568,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,180031190491743,,,,,,,30.7145,-88.0918
,,8.54,1326510493,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789911625179723,,,,,,,40.8095,-72.8229
,,801.35,1326510840,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595192916105588,,,,,,,35.0583,-79.008
